,state,ft,bt,km,transmission,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Year of Manufacture,Features,Mileage,Engine,Max Power,Torque,Color,Engine Type,Displacement,Max Torque,No of Cylinder,Fuel Suppy System,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,Cargo Volumn
1082,kolkata,Petrol,Hatchback,"22,868",Manual,1,Maruti,Maruti Alto 800,2019,7075,VXI BSVI,329000.0,2019,Comprehensive,Petrol,5.0,22868,WB24,796 cc,Manual,2019.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio",22.05,796,47.33bhp@6000rpm,69,Red,F8D Petrol Engine,796,69Nm@3500rpm,3,,,,3445,1515,1475,2360,762kg,5 Speed,,,4.6,Disc,Drum,Tubeless Tyres,5,355
1083,kolkata,Diesel,SUV,"76,165",Manual,1,Maruti,Maruti Vitara Brezza,2016,4301,LDi Option,550000.0,2016,Comprehensive,Diesel,5.0,76165,WB16,1248 cc,Manual,2016.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Cd Player",24.3,1248,88.5bhp@4000rpm,200,Maroon,DDiS 200 Diesel Engine,1248,200Nm@1750rpm,4,CRDi,Yes,No,3995,1790,1640,2500,1175kg,5 Speed,FWD,Power,5.0,Ventilated Disc,Drum,"Tubeless,Radial",5,355
1084,kolkata,Petrol,Hatchback,"27,047",Manual,1,Hyundai,Hyundai Grand i10 Nios,2020,7091,Sportz,574000.0,2020,Comprehensive,Petrol,5.0,27047,WB24,1197 cc,Manual,2020.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",20.7,1197,81.86bhp@6000rpm,113,Grey,1.2 Kappa petrol,1197,113.8nm@4000rpm,4,,No,,3805,1680,1520,2450,1160,5-Speed,,Electric,5.0,Disc,Drum,"Tubeless, Radial",5,355
1085,kolkata,Petrol,Sedan,"35,538",Automatic,1,Maruti,Maruti Swift Dzire,2017,7080,AMT ZXI,522000.0,2017,Comprehensive,Petrol,5.0,35538,Wb02,1197 cc,Automatic,2017.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player",21.21,1197,81.80bhp@6000rpm,113,Blue,K Series VVT Engine,1197,113Nm@4200rpm,4,MPFI,No,No,3995,1735,1515,2450,860-895Kg,5 Speed,FWD,Power,4.8,Disc,Drum,"Tubeless,Radial",4,378
1086,kolkata,Diesel,SUV,"8,700",Automatic,1,Kia,Kia Seltos,2023,9741,HTK Plus Diesel iMT,1400000.0,2023,Comprehensive,Diesel,5.0,8700,WB06,1497 cc,Automatic,2023.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio",19.7,1497,113.43bhp@4000rpm,250,Blue,1.5 L CRDi VGT,1497,250Nm@1500-2750rpm,4,CRDi,Yes,,4315,1800,1645,2610,1445,6-Speed iMT,FWD,Electric,5.0,Disc,Disc,"Tubeless, Radial",5,433
1087,kolkata,Petrol,Hatchback,"76,293",Manual,1,Maruti,Maruti Swift,2016,4162,ZXI BSIV,399000.0,2016,Comprehensive,Petrol,5.0,76293,WB18,1197 cc,Manual,2016.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player",22.0,1197,81.80bhp@6000rpm,113,Grey,VTVT Engine,1197,113Nm@4200rpm,4,MPFi,No,No,3840,1735,1530,2450,870Kg,5,,Power,5.0,Disc,Drum,Tubeless,5,268
1088,kolkata,Petrol,Hatchback,"34,000",Manual,1,Datsun,Datsun GO,2018,5219,T BSIV,185000.0,2018,Comprehensive,Petrol,5.0,34000,WB03,1198 cc,Manual,2018.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Centeral Locking,Child Safety Locks,Radio",20.63,1198,67bhp@5000rpm,104,Golden,Petrol Engine,1198,104Nm@4000rpm,3,Electronic Injection System,No,No,3785,1635,1490,2450,1050,5 Speed,FWD,Power,4.6, Disc,Drum,Tubeless,5,355
1089,kolkata,Petrol,Sedan,"12,113",Automatic,1,Honda,Honda City,2022,7905,ZX CVT,1299000.0,2022,Comprehensive,Petrol,5.0,12113,Wb16,1498 cc,Automatic,2022.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio",18.3,1498,119.35bhp@6600rpm,145,White,Water Cooled Inline i-VTEC DOHC with VTC,1498,145Nm@4300rpm,4,,,,4549,1748,1489,2600,1107-1153kg,CVT,,Electric,5.3,Ventilated Disc,Drum,"Tubeless, Radial",4,506
1090,kolkata,Petrol,SUV,"87,172",Manual,1,Hyundai,Hyundai Creta,2018,6433,1.6 SX Option,827999.9999999999,2018,Comprehensive,Petrol,5.0,87172,WB10,1591 cc,Manual,2018.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",15.8,1591,121.3bhp@6400rpm,151,Orange,VTVT Petrol Engine,1591,151Nm@4850rpm,4,MPFI,No,No,4270,1780,1665,2590,1300,6 Speed,FWD,Power,5.3,Disc,Drum,Tubeless,5,400
1091,kolkata,Petrol,Hatchback,"20,000",Manual,1,Maruti,Maruti Alto,2021,3908,Vxi 1.1,300000.0,2021,Third Party insurance,Petrol,5.0,20000,WB32,1061 cc,Manual,2021.0,"Power Steering,Remote Fuel Lid Opener,Air Conditioner,Heater,Manually Adjustable Exterior Rear View Mirror,Tinted Glass,Brake Assist,Halogen Headlamps",18.9,1061,"47@6,200 (PS@rpm)",62,Others,In-Line Engine,1061,"62@3,000 (Nm@rpm)",3,MPFI,No,No,3495,1475,1460,2360,705kg,5 Speed,FWD,Power,4.6,Disc,Drum,"Tubeless,Radial",5,355
