,state,ft,bt,km,transmission,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,RTO,Engine Displacement,Transmission,Year of Manufacture,Features,Mileage,Engine,Max Power,Torque,Color,Engine Type,Displacement,Max Torque,No of Cylinder,Fuel Suppy System,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Drive Type,Steering Type,Turning Radius,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,Cargo Volumn
353,hyderabad,Diesel,Sedan,"93,000",Automatic,1,Audi,Audi A4,2011,5289,2.0 TDI,1199000.0,2011,Third Party insurance,Diesel,5,93000.0,AP10,1968 cc,Automatic,2011.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player",16.55,1968.0,147.51bhp@4200rpm,320,White,TDI Diesel Engine,1968.0,320Nm@1750-2500rpm,4,Direct Injection,Yes,No,4701,2040,1427,2808,1590kg,7 Speed,FWD,Power,11.5,Ventilated Disc,Disc,"Tubeless,Radial",4,480
354,hyderabad,Petrol,Sedan,"48,000",Manual,1,Mercedes-Benz,Mercedes-Benz S-Class,2001,5614,320 L,999000.0,2019,Third Party insurance,Petrol,5,48000.0,AP09,2987 cc,Manual,2019.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player",13.0,2987.0,210@4000 (PS@rpm),50,Silver,V-Type Engine,2987.0,50@1600-1800 (kgm@rpm),6,CRDI,Yes,No,5206,1871,1473,3165,1995kg,7 Speed,RWD,Power,6.1,Ventilated Disc,Ventilated Disc,"Tubeless,Radial",4,355
355,hyderabad,Diesel,MUV,"55,000",Manual,1,Chevrolet,Chevrolet Enjoy,2013,510,TCDi LTZ 7 Seater,525000.0,2013,Third Party insurance,Diesel,7,55000.0,AP29,1248 cc,Manual,2013.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",18.2,1248.0,73.8bhp@4000rpm,172,CBeige,SMARTECH Diesel Engine,1248.0,172.5 Nm@1750rpm,4,Direct Injection,Yes,No,4305,1680,1750,2720,1345kg,5 Speed,FWD,Power,5.0,Disc,Drum,"Tubeless,Radial",5,355
356,hyderabad,Diesel,Sedan,"1,31,852",Manual,1,Maruti,Maruti Swift Dzire,2012,4227,VDi,420000.0,2012,Third Party insurance,Diesel,5,131852.0,AP05,1248 cc,Manual,2012.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Fog Lights Front,Fog Lights Rear,Centeral Locking,Power Door Locks,Cd Player",19.3,1248.0,73.9bhp@4000rpm,190,White,In-Line Engine,1248.0,190Nm@2000rpm,4,CRDI,Yes,No,4160,1690,1530,2390,1105kg,5 Speed,2 WD,Power,4.7,Ventilated Disc,Drum,"Tubeless,Radial",4,355
357,hyderabad,Petrol,Hatchback,"20,000",Manual,1,Maruti,Maruti Swift,2021,7084,VXI,600000.0,2021,Third Party insurance,Petrol,5,20000.0,TS08,1197 cc,Manual,2021.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Cd Player",21.21,1197.0,81.80bhp@6000rpm,113,Others,VTVT Engine,1197.0,113Nm@4200rpm,4,MPFi,No,No,3840,1735,1530,2450,855-885,5,FWD,Electric,5.0,Disc,Drum,Tubeless,5,268
358,hyderabad,Diesel,SUV,"44,416",Manual,1,Renault,Renault Duster,2019,5051,110PS Diesel RxZ,996000.0000000001,2019,Third Party insurance,Diesel,5,44416.0,TS06,1461 cc,Manual,2019.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player",19.6,1461.0,108.45bhp@4000rpm,245,Blue,dCi THP Diesel Engine,1461.0,245Nm@1750rpm,4,CRDi,Yes,No,4315,1822,1695,2673,1280,6 Speed,FWD,Power,5.2,Disc,Drum,"Tubeless,Radial",5,355
359,hyderabad,Petrol,Hatchback,"69,408",Manual,3,Honda,Honda Brio,2012,1203,S MT,311000.0,2012,Comprehensive,Petrol,5,69408.0,AP09,1198 cc,Manual,2012.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Centeral Locking,Power Door Locks,Radio",19.4,1198.0,86.8bhp@6000rpm,109,Red,i-VTEC Engine,1198.0,109Nm@4500rpm,4,PGM - Fi,No,No,3610,1680,1500,2345,925kg,5 Speed,FWD,Power,4.5,Disc,Drum,"Tubeless,Radial",5,355
360,hyderabad,Petrol,SUV,"10,000",Manual,1,Volkswagen,Volkswagen Taigun,2022,8610,1.0 TSI Topline BSVI,1700000.0,2022,Third Party insurance,Petrol,5,10000.0,TS08,999 cc,Manual,2022.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio",20.08,999.0,113.98bhp@5000-5500rpm,178,Black,1.0L TSI,999.0,178Nm@1750-4500rpm,3,TSI,Yes,,4221,1760,1612,2651,1255,6-Speed,,Electric,5.05,Disc,Drum,"Tubeless, Radial",5,385
361,hyderabad,Petrol,Hatchback,"78,911",Manual,2,Maruti,Maruti Baleno,2016,3969,1.2 Zeta,572000.0,2016,Comprehensive,Petrol,5,78911.0,TS07,1197 cc,Manual,2016.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",21.4,1197.0,83.1bhp@6000rpm,115,Blue,VVT Petrol Engine,1197.0,115Nm@4000rpm,4,MPFI,No,No,3995,1745,1510,2520,880kg,5 Speed,FWD,Power,5.0,Disc,Drum,"Tubeless,Radial",5,355
362,hyderabad,Petrol,Hatchback,"85,298",Manual,1,Datsun,Datsun GO,2017,7852,T,307000.0,2018,Zero Dep,Petrol,5,85298.0,TS08,1198 cc,Manual,2017.0,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Brake Assist,Radio",19.02,1198.0,67.05bhp@5000rpm,104,Red,Naturally Aspirated 12V,1198.0,104Nm@4000rpm,3,Electronic Injection System,No,No,3788,1636,1507,2450,886kg,5 Speed,FWD,Power,4.6,Disc,Drum,Tubeless,5,355
