,state,ft,bt,km,transmission,ownerNo,oem,model,modelYear,centralVariantId,variantName,price,Registration Year,Insurance Validity,Fuel Type,Seats,Kms Driven,Engine Displacement,Transmission,Year of Manufacture,RTO,Features,Mileage,Engine,Max Power,Torque,Color,Engine Type,Displacement,Max Torque,No of Cylinder,Fuel Suppy System,Turbo Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gear Box,Drive Type,Steering Type,Front Brake Type,Rear Brake Type,Tyre Type,No Door Numbers,Cargo Volumn,Super Charger,Turning Radius
736,delhi,Petrol,SUV,"68,631",Automatic,2,Ford,Ford Ecosport,2015,7921,1.5 Petrol Titanium AT,465000.00000000006,2015,Comprehensive,Petrol,5.0,68631,1496 cc,Automatic,2015,DL9C,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Radio",14.7,1496,120.69bhp@6500rpm,149,White,Ti-VCT Petrol Engine,1496,149Nm@4500rpm,3,Direct Injection,No,3998,1765,1647,2519,1281Kg,6 Speed,FWD,Electric,Ventilated Disc,Drum,"Tubeless,Radial",4,355,No,5.3
737,delhi,Petrol,Hatchback,"18,833",Manual,1,Maruti,Maruti Alto 800,2021,7073,LXI,351000.0,2021,Zero Dep,Petrol,5.0,18833,796 cc,Manual,2021,DL8C,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Child Safety Locks",22.05,796,47.33bhp@6000rpm,69,Silver,F8D Petrol Engine,796,69Nm@3500rpm,3,,,3445,1515,1475,2360,755,5 Speed,,,Disc,Drum,Tubeless Tyres,5,355,,4.6
738,delhi,Petrol,Hatchback,"55,418",Manual,1,Maruti,Maruti Ignis,2021,7584,Sigma BSVI,515000.00000000006,2021,Third Party,Petrol,5.0,55418,1197 cc,Manual,2021,HR81,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Child Safety Locks",20.89,1197,81.80bhp@6000rpm,113,Silver,VVT,1197,113Nm@4200rpm,4,,,3700,1690,1595,2435,840-865,5 Speed,,Electric,Disc,Drum,"Tubeless, Radial",5,260,,4.7
739,delhi,Petrol,Hatchback,"20,000",Manual,1,Maruti,Maruti Wagon R,2013,4310,VXI BS IV,225000.0,2013,Third Party insurance,Petrol,5.0,20000,998 cc,Manual,2013,,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Centeral Locking,Power Door Locks,Cd Player",20.51,998,67.04bhp@6200rpm,90,Gray,K10B Petrol Engine,998,90Nm@3500rpm,3,,No,3599,1495,1700,2400,885kg,5 Speed,FWD,Power,Ventilated Disc,Drum,Tubeless Tyres,5,355,No,4.6
740,delhi,Petrol,MUV,"53,400",Manual,1,Renault,Renault Triber,2020,10070,RXZ,620000.0,2020,Zero Dep,Petrol,7.0,53400,999 cc,Manual,2020,UP14,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Anti Lock Braking System,Centeral Locking,Radio",20.0,999,71.01bhp@6250rpm,96,Red,,999,96Nm@3500rpm,3,MPFi,,3991,1739,1643,2523,947,5 Speed,,Electric,Disc,Drum,"Tubeless, Radial",5,84,,5.0
741,delhi,Petrol,Hatchback,"25,000",Manual,1,Renault,Renault KWID,2018,5375,1.0 RXT Optional,349000.0,2018,Comprehensive,Petrol,5.0,25000,999 cc,Manual,2018,DL8C,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Radio",23.01,999,67bhp@5500rpm,91,Silver,Petrol Engine,999,91Nm@4250rpm,3,MPFi,No,3679,1579,1478,2422,730,5 Speed,FWD,Power,Disc,Drum,"Tubeless,Radial",5,300,No,4.9
742,delhi,Petrol,SUV,"87,576",Automatic,1,Jeep,Jeep Compass,2019,9064,1.4 Longitude Plus AT,1385000.0,2019,Comprehensive,Petrol,5.0,87576,1368 cc,Automatic,2019,DL10,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Centeral Locking,Cd Player",14.1,1368,160.77bhp@3750rpm,250,Silver,1.4-Litre 4-Cyl Multiair Engine,1368,250Nm@1750-2500rpm,4,CRDI,Yes,4395,1818,1640,2636,1562 kgs,7 Speed,4X2,Power,Disc,Discs,"Radial, Tubless",5,355,No,5.0
743,delhi,Petrol,Hatchback,"58,000",Manual,1,Honda,Honda Brio,2014,1188,S MT,290000.0,2014,Comprehensive,Petrol,5.0,58000,1198 cc,Manual,2014,DL13,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Power Adjustable Exterior Rear View Mirror,Centeral Locking,Power Door Locks,Radio",19.4,1198,86.8bhp@6000rpm,109,Silver,i-VTEC Engine,1198,109Nm@4500rpm,4,PGM - Fi,No,3610,1680,1500,2345,925kg,5 Speed,FWD,Power,Disc,Drum,"Tubeless,Radial",5,355,No,4.5
744,delhi,Petrol,MUV,"75,000",Manual,1,Datsun,Datsun GO Plus,2015,5229,T BSIV,285000.0,2015,Comprehensive,Petrol,7.0,75000,1198 cc,Manual,2015,HR26,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Manually Adjustable Exterior Rear View Mirror,Centeral Locking,Child Safety Locks,Radio",19.44,1198,67bhp@5000rpm,104,White,In Line Petrol Engine,1198,104Nm@4000rpm,3,EGIS,No,3995,1635,1490,2450,1070,5 Speed,FWD,Power,Ventilated Disc,Drum,Tubeless,5,355,No,4.6
745,delhi,Petrol,Sedan,"69,000",Automatic,1,Volkswagen,Volkswagen Vento,2013,2019,IPL II Petrol Highline AT,330000.0,2013,Comprehensive,Petrol,5.0,69000,1598 cc,Automatic,2013,DL4C,"Power Steering,Power Windows Front,Air Conditioner,Heater,Adjustable Head Lights,Fog Lights Front,Anti Lock Braking System,Brake Assist,Cd Player",14.8,1598,105 PS at 5250 rpm,1370,White,In Line Petrol Engine,1598,153 Nm at 3800 rpm,4,,No,4384,1699,1466,2523,1121kg,Six Speed Automatic Transmission,Two Wheel Drive,Power,Disc,Drum,"Tubeless,Radial",4,355,No,5.0
